comment,user_name,date
Loving the 80s vibes retro modern,@richardmcdonagh9773,2025-03-21T09:48:57Z
I love how the music's slows down as if to stop when she's singing.The world needs to stop or something like that.This song is giving me eighties vibes,@AlejandraGarcia-ky5dl,2025-03-21T01:39:25Z
The vibe is the label really messed up I’m 37 and adore this girl she’s a star!!!!!!!!,@Autumnlainee,2025-03-20T13:05:17Z
Gweni Stefani vibes,@michaelsville,2025-03-20T03:02:44Z
Its giving 2018 vibes i don't know why,@carolinepicard5308,2025-03-19T22:49:34Z
"Heard this on the radio and had to Google the lyrics! Didn't realize it was Chapelle, I'm still getting used to her voice.",@ororomunroe4055,2025-03-19T20:36:08Z
"Waking up one morning to my mom humming this song with 0 knowledge of English and asking ""mom, who's the girl who hurt you?"" And not giving context on why do I ask is truly powerful",@Amenlimit,2025-03-17T19:34:34Z
Love this song #vibezzzzz,@rafaelrazo1880,2025-03-16T00:37:02Z
Kate bush vibes ❤,@mcfly0110,2025-03-16T00:26:23Z
aw this video brings me back to the days of decorating my neopets profile circa 2002 ❤ seeing the cartoon dolls makes me so nostalgic! i used to make bases and clothes and had my own websites where you could dress them up! what an amazing era of the internet!,@alysemarie8313,2025-03-15T23:19:28Z
This song makes me want to cry because of how beautiful and emotional it is😭😭😭😭,@Sillypersonwholoveswater,2025-03-15T22:18:43Z
This song is so nostalgic. It takes me back to the time I met my exes' parents for the first time. This song was playing in the car with him and his father. Back when Chappell was rising to fame. Fuck I miss him so much 😕,@Xcyrs,2025-03-15T20:52:53Z
"Music nerd here: they actually slow down a little right after “stop the feeling” in the chorus, and then speed back up. It’s subtle but it’s there. Not talking about the end where it OBVIOUSLY slows.",@mattlawson714,2025-03-15T17:00:52Z
The Fact she is a new singer and Can make SUCH A GOOD SONG that gives a 90s vibe~,@anjanamallikarjun8594,2025-03-14T20:28:13Z
0:53 I’m almost 16 and I can still hit these notes,@mgwrestling27,2025-03-14T16:39:19Z
87 million views on a lyrics video. She is just on another level,@denniesingt,2025-03-14T15:58:53Z
"This brilliantly catchy melody has been in my head every day for a year now & I don't know what to do about it...might have to write a pop song or 10 ;) THANK YOU CHAPPELL, YOU RULE!!!",@jasonmaks,2025-03-12T19:13:31Z
I really love the 90's-00's vibes in this video..,@user-rd5jx9el8r,2025-03-11T11:28:46Z
"im here cos I had else to do and tho I'm not gay or anything like that, I liked the song lyrics but disliked the video",@eduphoto6945,2025-03-10T17:23:12Z
"How many of you just realized that the whole chorus gets slower each time, and not only in the last one?",@rociorodriguezalmaraz3233,2025-03-10T02:23:46Z
"❤ you are amazing :) your vocal range is amazing. And your voice is so beautiful and endearing :) I saw a cutie wearing some stylish sunglasses who had the softest looking most perfect flawless skin at the beach yesterday on the walking trail who had a resemblance to you, and I wanted to talk to her but I am shy and not an offensive old creep, so I merely smirked and admired her effortless cool while passing. Later saw her again while passing the opposite direction and she had the cutest short short / short skirt combo on :) such a doll :)  anyway, only discovered you recently and I can see what all the fuss is about  :)",@audioeins,2025-03-09T17:26:02Z
Anyone else is loving the glitter splash in his face when she hits him? ❤❤ This video is costume design and art direction perfection. Loving your Chappelverse…so MUUUUCH.,@ninabrito3118,2025-03-09T11:54:07Z
Why does the lyrics video feels like created on PowerPoint 😂😂,@Yin245,2025-03-09T04:59:56Z
Why this song feels like Nostalgic. 80's vibes,@Yin245,2025-03-09T04:58:25Z
dancing to this without knowing any of the lyrics,@iamfactorial,2025-03-08T02:19:48Z
Kidz Bop made a cover and changed the chorus to “You can show a hundred boys you’re smart”😭😭,@soonamii_star,2025-03-06T05:04:19Z
one of the worst things I've ever heard in my life .    ug.,@donnabert,2025-03-03T15:36:28Z
As a straight dude who just listened to this for the first time this week. I like the vibe and like the message. I see it and dig it. But I also see that it could be interpreted 2 ways. The way of a girl coming out as a lesbian. And the way of someone regardless of gender or orientation realizing that they love someone after so long and finally admitting it. Either way it’s a very good song.,@jacksonthomas1851,2025-03-02T04:27:02Z
Be honest awful lyrics a bar song is a better song than this and it is a rap this song does not deserve a Brit but one day u might be able to make a song that has better meaning and win a deserved brit,@JaysonPascoe,2025-03-01T22:01:58Z
"I love the voice, but I am trying to forget the lyrics so that I can keep enjoying the song.",@ledevin4413,2025-03-01T16:44:41Z
"Thank you autotune. Glad I don't like pop, Bubble gum music. Not sure why it's popular. But okay",@Sammyman2662,2025-02-28T07:32:06Z
No Doubt vibes,@nicholasdruce5346,2025-02-26T22:07:17Z
Catchy as all get out.,@ENigma-um8zw,2025-02-26T00:16:30Z
I usually don't care for modern music. I know it sounds pretencious and all that yeah yeah. But I fucking love Chapelle Roan and her music. Girl knows how to sing and the mix of modern musical tropes and the eighties synth vibes to almost all her songs absolutely fucks. Also helps that she is a goddamn gay icon at this point and I hope she continues her rise. Good shit good shit.,@astaroththedaeva9717,2025-02-25T04:48:51Z
"Chappell, I had a beautiful time with your song, 'good luck babe'. As I showered I though: how can anyone leave a woman with just that hit alone and that heartfelt melody of vocals. Than I saw you were gay and I cried with you. Feeling your pain. Although I can't relate to the gay part, it made me think how united we all are and can share your pain. With that song along you've touched so many people. I thank God for your disappointments in all your relationships. Because you've helped others through your experience. I want you to know that my vibes and blessings are being send your way. I send you love and appreciation and we are all one with God! May God bless your way ❤ you are not alone girl! Always put yourself first, no one else will: to find true love, you find yourself❤",@rosegaldamez1442,2025-02-25T03:58:08Z
One of the most emotion-filled songs i’ve ever heard,@rydogjkjr3325,2025-02-25T02:51:06Z
"I've been in Criteria Studios,Quadradial And Others Worked with New Artist Back in 80s and this Song Has a Real Nice Hook & Definitely Billboard Top 20 if the Label Pushes it.A Good Song With the Right Hook,Melody,Producer & Engineer & Artist Marketing will ALWAYS sell.The Lyrics on a uptempo irrelevant.I don't understand the lyrics,But Again  Labels Want $.And Also Keep a Song under 3:30n",@TheCarguymiami,2025-02-25T02:43:55Z
Gwen Stefani vibe ❤,@CarmenElena.14,2025-02-24T21:10:18Z
Kate bush vibes,@samb8744,2025-02-24T20:52:18Z
She gives Marina Diamond vibes,@shonjahpollard6936,2025-02-23T15:31:40Z
"i went to a bowling alley for my fathers birthday, and this very song played, i liked the beat, lyrics, and sound, i looked up the song when i got home, and i fell in love with chappell roan's music.",@XshadowmilkcookieX,2025-02-21T03:07:40Z
It was driving me crazy to figure out what this song reminded me of until I finally found it! The first notes are definitely very similar to french song J'en ai marre by Alizee,@SomeoneSomewhereAlive,2025-02-20T16:43:11Z
"This is in the neigbourhood of Kate Bush, but a little less intellectual. Catchy.",@aacnb84,2025-02-20T07:47:25Z
"Between the soaring vocals, a title not prominently featured in the lyrics, and the overall eccentricity (check out that ending), it feels like something Kate Bush WISHES she would have done 40 years ago.",@nicholasharvey1232,2025-02-20T00:38:55Z
myringtonenow🙄,@eugene.YTChannel,2025-02-19T20:13:20Z
"""The energy, the melody, the vibe—everything is just chef’s kiss.""",@tunenest-504,2025-02-17T18:28:09Z
I LOVE THIS VIBE FOR REAL,@caohs2767,2025-02-17T15:46:13Z
Very kate bush running  that hill vibes.,@tony2888,2025-02-17T14:48:19Z
"imagine just. releasing one of the most influential songs of a generation. because of how good and nice and fun and catchy your vocalizations and wordplay are. like, oops! i did poetry and music and self expression so good that this song will become a cultural touchstone!! that's what it means to be queer btw",@Eve.v,2025-02-17T04:52:47Z
Dolly was nightcorce before nightcore that naturally high pitch man sam,@squrilygirlly,2025-02-16T23:38:57Z
The vibes are vibing! 🏳️‍⚧️🏳️‍🌈✨,@clairemathews6682,2025-02-16T05:04:54Z
"Music is a vibe, and the video is a vibe.",@Makalo101,2025-02-14T06:06:32Z
Truly an amazing song and also love the old nostalgic style!,@Trombone_Enthusiast1,2025-02-13T19:40:45Z
Such a catchy song. Definitely one of the best songs of the 2020s.,@BrentBare-cw6gz,2025-02-13T04:09:37Z
"This is taking off because it's basically a synthwave song. People of my age and a little older love the beach cuz it literally reminds you of that time and those places I mean it's really good it's a really good song, but that's the big appeal in synthwave has been going hard for a long time now and this is like one of the first mainstream songs that's been pushed into the bigger audience. If you like this check out a band called The Midnight. Like I'm not taking away from this song but their song Los Angeles is much better than this lol.",@InjunJosh,2025-02-12T14:53:14Z
