comment,user_name,date
Oh my god it has lyrics,@prettyboyreid,2024-04-17T05:09:55Z
"Help me guys, where have i heard that melody? It sounds sooo familiar but i cant put my finger on where have i heard it.",@cdomaci,2024-04-11T19:17:54Z
Rolling down the Rocky Mountains type vibes 🔥,@TexasJames,2023-09-26T20:53:10Z
The vibes ❤,@janielfelicio,2023-09-16T18:17:06Z
"this. this is the most beautiful song I’ve heard all year, I’m obsessed, with y’all. the amount of times I’ve played this is probably not even legal. I could scream this song and never ever get tired of it, and I have, I’ve lost my voice to this actually. it reminds me of my childhood, and I sk8bkarding to this at night is a different type of vibe..I LUV U GUYS , GETTING MY MOM TO BUY TICKETS FOR MY FIFTEENTH BDAY<3333",@londynisgoated,2023-08-27T19:04:51Z
This gives me a nostalgic feeling for some reason,@PieroMinayaRojas,2023-07-23T08:13:53Z
Slight [adult swim] vibes,@yousillybilly123,2023-06-21T10:03:45Z
This song has such incredible emotion just absolutely poured into it. I'm so glad I live in a generation where I can find such amazing music so easily,@hellomickey18,2023-03-23T03:19:25Z
"How a song can make you feel like you're a wave crashing on a shoreline, new life, and a bird soaring above, while simultaneously making you feel like a leaf fighting the wind in a beautiful but deadly dance, or a wolf sorrowfully howling is beyond me. It brings back a hurricane of memories, emotions, regrets and gratitude all at once.",@marinairathemagnificent,2023-03-22T08:37:09Z
This song is just a different vibe which I can't explain ❤,@samuelmathew3179,2023-03-20T14:48:05Z
"The first full strum of this song and those high notes immediately reset my whole soul and body like I’m taking a deep breath of crisp air. Even as I’m stuck at home in my room I feel as if I’m on an adventure, feeling the earth beneath my feet and hearing nothing but the birds’ songs overlapping one another. Finally found a new song to learn on my guitar haha. Thank you for creating this magical masterpiece and providing fuel for my never ending fantasies I dream out in my mind ❤",@niffspade,2023-03-09T08:31:11Z
"Music is a powerful thing. It's like a river that connects two points, those points being you and other people. It connects us to each other. It can either drag you down to earth and bring your head out of the clouds or it can make you feel like you're floating above the clouds. Music isn't just supposed to make you happy. It's supposed to make you feel. People can interpret songs in different ways or connect them to their life how they want. Most songs people listen to, they listen to because they're relatable. And music that makes you feel more than one thing at once is truly amazing. Nothing keeps me more grounded than music does. And I can't stress enough how much music means to me. I can't live a day without it.",@ilov3kurtcobain,2023-03-03T17:45:42Z
"I don't know what it is about this song, but something about it just makes u want to cry. Sometimes they're happy tears and sometimes they're sad tears. But a song being able to make u feel both happy and sad at the same time just proves how amazing and powerful it is. And the way you can interpret this song in anyway you want is truly amazing. It's amazing how well the beat and music of the song just makes me want to just drift away like a feather in the wind and sometimes makes me want to just lay in the grass and watch the skies from day to night over and over again until my eyes burn out of their sockets or time just passes by that there is no sky anymore. Truly an amazing song.",@ilov3kurtcobain,2023-03-03T14:38:59Z
"This is so beautiful. I wish there was more to this song. I can't describe the feeling this gives me, but its very nostalgic",@Lunaliladee,2023-01-30T05:05:31Z
"This song is such a vibe, loving from Italy😄♥",@krishmalfernando9331,2023-01-10T12:12:01Z
Such a good vibe,@evacassells4211,2023-01-02T00:21:07Z
god i wish the chorus of this song was longer,@smashingpumpkinslvr,2022-11-25T06:28:13Z
Does anyone have the guitar chords or tabs to this song?,@ilovedeftones079,2022-11-20T19:41:47Z
"The vibes I get from this song, I just can’t put them into words 🔥",@wt-l3ver375,2022-11-19T09:28:05Z
