comment,user_name,date
"a masterpiece in the form of music, you are from another universe I feel this good vibe forever...🪐🌌✨️✌️",@Dreamerleandpeter,2025-03-19T19:12:28Z
Perfect soundtrack for everything ❤❤❤ gives vibe of stranger things 😌😌,@satnamkaur1685,2025-03-12T08:54:42Z
Vibes SNBP 2024 apalagi pas masa ramadhannya :(,@jsjshkan,2025-02-26T16:32:47Z
Dirilis tahun 2022 tapi vibes lagu nya kek lagu jadul gitu yakk kek kadi mengenang masa lalu...,@onatdolby6652,2025-02-10T09:37:49Z
I'm why. The beat and the song has n general makes me feel old,@Marcelo-juc,2025-02-10T02:46:38Z
"I have no idea why, considering that I’ve only been watching hockey for 2 years, and that I don’t even like the Blackhawks, but this video makes me really nostalgic for the early 2010’s NHL. Odd.",@oogleyboogley302,2025-01-30T09:12:34Z
"I always got frustrated whenever I heard this song on reels and stuff because this song was so much overused that I started hating it..after so many days, today I felt like listening to this song just to check out the lyrics and oh my god, is this what I've been missing all these days ?? Silly me",@IshtiyaqRahman-hr4rh,2025-01-29T17:41:05Z
vibes Ramadhan 2024😢,@nopalkcil,2025-01-27T03:04:23Z
"This song is one of the greatest and my favorite song of the 2020's, because of its revival of 80's synth pop combined with some pop rock elements. I'm a synthesizer and 80's guy myself, and I've heard multiple synth pop bands, and I can hear striking similarities to Tears for Fears and a-ha, both being pop rock and synth pop bands. I can compare this song with ""Everybody Wants To Rule The World"" because they sound a little similar. I feel like End of Beginning is so well-composed, well-structured, and well-written in every way, that I just want to listen to it as many as I want, because it just sounds *_too good._* Everyone has their own interpretations of this song, either a final sendoff to 2024 (primarily because of the lyric, ""Remember '24?""), or a nostalgic feeling. For me, I would go something like one of the usuals, a nostalgic feeling, like looking back to your childhood years.",@tto0508,2025-01-25T14:16:14Z
Se essa música não estiver na quinta temporada eu não assisto.,@Glaubermota18,2025-01-24T00:05:53Z
"This song is a bit like ""Africa"" by Toto, ""Don't Stop Believin'"" by Journey, and ""Carry On My Wayward Son"" all rolled into one, but this one may be my favorite of all of those great songs. This just...hits different. And boy, does it hit hard. It makes me inexplicably sad, and it also makes me want to jam. It makes me nostalgic for a place I didn't grow up in and long for something I'm not sure I ever had. And my God, those harmonies melt me like butter on a hot summer day. Those harmonies are out of thus world, they're so good. And EVERTHING in the song--the lyrics, the synth, and the drums, just to name a few--compliment them so f*cking well. Listening to this almost makes me want to cry.",@tenpiano1920,2025-01-23T20:46:32Z
This song is repetitive,@UMITAYDIN-qt8hw,2025-01-23T10:56:05Z
"I genuinely hate this song. Not because of the artist, the tune, or the lyrics. _It's because it ends._",@Bread403,2025-01-22T05:31:32Z
"This + rethinking life... Such a vibe, i feel it",@Human-j9l,2025-01-17T20:43:45Z
Coming for only Vibe ❤,@ariyansaikia9053,2025-01-15T04:35:04Z
2:09 ur nostalgic ready to knock in because of this,@takumaso2,2025-01-10T06:36:03Z
"the main lyrics its ''end of begining'' but i fell the main lyrics its ''remember 24?'' should i hear this music at new year 2025 , i miss it :,(",@rachmawan,2025-01-09T04:51:18Z
Best vibe,@Honkeypig_vr,2025-01-06T11:28:23Z
Stranger Things vibes🎉❤,@DerekDelaney-j5e,2025-01-06T06:31:58Z
"""Emotional""",@BrainRot-91,2025-01-04T06:56:52Z
"""Your song has such a timeless vibe that my mom, a big fan of classics, thought it was an Elvis Presley track! She loved it, and so did I—it’s rare to find modern music that feels so beautifully vintage yet fresh. Truly amazing!""❤️",@Rijuta_18,2025-01-02T10:01:04Z
"He writes this while preparing for his math exam on January 1, 2025. The sentence 'Remember the 24th' touched me. We prepared for the mathematics exam for 1 year. This made me emotional (I've been working since yesterday)",@Mlines.s,2025-01-01T14:48:07Z
I GOT THE BEAT DROP PERFECTLY TIMED🔥🔥🔥🔥,@Rangytangyvr,2025-01-01T08:03:58Z
I timed this song with the beat drop on 0:36. Absolutely a masterpiece of a start,@GoldenAthens,2025-01-01T05:12:12Z
i played this song 36 seconds before the ball dropped. the beat drop hit perfectly on 2025!,@LeonS.Kennedy-zi2mh,2025-01-01T05:04:11Z
I DID THE BEAT DROP LETS GO,@plexion-plex123,2025-01-01T00:15:39Z
Hit the beat drop at exactly midnight,@Kacper_Sobczyk,2025-01-01T00:00:42Z
